ZONE I=40, J=105
0.724123 0.437747 0.066923 -0.138521
0.746066 0.451012 0.0707351 -0.146738
0.768009 0.464278 0.074624 -0.155163
0.789952 0.477543 0.0785865 -0.163794
0.811895 0.490808 0.0826191 -0.172626
0.833838 0.504073 0.0867185 -0.181656
0.855781 0.517338 0.090881 -0.190881
0 0 0 0
0.0211022 0.0145658 6.57419e-05 -0.000131488
0.0422043 0.0291315 0.000262916 -0.000525901
0.0633065 0.0436973 0.000591368 -0.00118308
0.0844086 0.0582631 0.00105084 -0.00210278
0.105511 0.0728288 0.00164097 -0.00328463
0.126613 0.0873946 0.0023613 -0.00472817
0.147715 0.10196 0.00321126 -0.00643283
0.168817 0.116526 0.00419018 -0.00839794
0.189919 0.131092 0.00529729 -0.0106227
0.211022 0.145658 0.00653171 -0.0131063
0.232124 0.160223 0.00789247 -0.0158478
0.253226 0.174789 0.00937848 -0.0188459
0.274328 0.189355 0.0109886 -0.0220997
0.29543 0.203921 0.0127214 -0.0256077
0.316532 0.218486 0.0145757 -0.0293686
0.337634 0.233052 0.0165498 -0.0333808
0.358737 0.247618 0.0186423 -0.0376429
0.379839 0.262184 0.0208513 -0.0421531
0.400941 0.276749 0.0231752 -0.0469096
0.422043 0.291315 0.0256119 -0.0519104
0.443145 0.305881 0.0281596 -0.0571536
0.464247 0.320447 0.030816 -0.0626371
0.485349 0.335013 0.0335789 -0.0683587
0.506452 0.349578 0.0364462 -0.074316
0.527554 0.364144 0.0394152 -0.0805066
0.548656 0.37871 0.0424835 -0.086928
0.569758 0.393276 0.0456486 -0.0935775
0.59086 0.407841 0.0489075 -0.100453
0.611962 0.422407 0.0522576 -0.10755
0.633065 0.436973 0.0556958 -0.114867
0.654167 0.451539 0.0592192 -0.122401
0.675269 0.466104 0.0628246 -0.130149
0.696371 0.48067 0.0665088 -0.138106
0.717473 0.495236 0.0702683 -0.146271
0.738575 0.509802 0.0740999 -0.154639
0.759677 0.524367 0.0779998 -0.163207
0.78078 0.538933 0.0819645 -0.171971
0.801882 0.553499 0.0859901 -0.180928
0.822984 0.568065 0.0900729 -0.190073
0 0 0 0
0.0201842 0.0158133 6.5742e-05 -0.000131488
0.0403684 0.0316266 0.000262917 -0.000525902
0.0605526 0.0474399 0.000591372 -0.00118309
0.0807368 0.0632532 0.00105085 -0.00210279
0.100921 0.0790665 0.001641 -0.00328465
0.121105 0.0948798 0.00236135 -0.00472822
0.141289 0.110693 0.00321136 -0.00643292
0.161474 0.126506 0.00419034 -0.0083981
0.181658 0.14232 0.00529755 -0.010623
0.201842 0.158133 0.0065321 -0.0131067
0.222026 0.173946 0.00789304 -0.0158483
0.24221 0.18976 0.00937929 -0.0188467
0.262394 0.205573 0.0109897 -0.0221008
0.282579 0.221386 0.0127229 -0.0256092
0.302763 0.2372 0.0145777 -0.0293706
0.322947 0.253013 0.0165524 -0.0333834
0.343131 0.268826 0.0186455 -0.0376462
0.363315 0.284639 0.0208554 -0.0421572
0.3835 0.300453 0.0231803 -0.0469147
0.403684 0.316266 0.0256182 -0.0519167
0.423868 0.332079 0.0281672 -0.0571613
0.444052 0.347893 0.0308252 -0.0626463
0.464236 0.363706 0.0335899 -0.0683697
0.484421 0.379519 0.0364592 -0.074329
0.504605 0.395333 0.0394305 -0.0805219
0.524789 0.411146 0.0425015 -0.0869459
0.544973 0.426959 0.0456694 -0.0935984
0.565157 0.442773 0.0489317 -0.100477
0.585342 0.458586 0.0522854 -0.107578
0.605526 0.474399 0.0557277 -0.114899
0.62571 0.490212 0.0592555 -0.122438
0.645894 0.506026 0.0628658 -0.13019
0.666078 0.521839 0.0665554 -0.138153
0.686263 0.537652 0.0703208 -0.146323
0.706447 0.553466 0.0741588 -0.154698
0.726631 0.569279 0.0780658 -0.163273
0.746815 0.585092 0.0820381 -0.172045
0.766999 0.600906 0.086072 -0.18101
0.787183 0.616719 0.0901638 -0.190164
0 0 0 0
0.0191926 0.0170031 6.57424e-05 -0.000131489
0.0383852 0.0340063 0.000262924 -0.000525909
